财报类型,股票代码,上市公司,年报,年报,年报,年报,年报,年报,年报,年报,年报
长期借款,="000333",="美的集团",=10491757000,=46138736000,=50685948000,=19734020000,=42827287000,=41298377000,=32091439000,=32986325000,=2254348000
应付债券,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
应付债券,="000333",="美的集团",=3266775000,=3217969000,=3163616000,=0,=0,=0,=0,=4553054000,=4818769000
(其中)优先股,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
(其中)优先股,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
(其中)永续债,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
(其中)永续债,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
租赁负债,="000651",="格力电器",=711291190,=767007952,=146836621,=3313453,=0,=0,=0,=0,=0
租赁负债,="000333",="美的集团",=1825258000,=2047319000,=1507480000,=1533552000,=0,=0,=0,=0,=0
长期应付款,="000651",="格力电器",=7912428,=27028498,=104644415,=446194592,=0,=0,=0,=0,=0
长期应付款,="000333",="美的集团",=0,=0,=0,=0,=13260000,=33646000,=88890000,=250536000,=369286000
(其中)专项应付款,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
(其中)专项应付款,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=2500000,=2405000
长期应付职工薪酬,="000651",="格力电器",=232702530,=195057663,=175712728,=164408471,=149859788,=141021228,=130840170,=112708961,=117732064
长期应付职工薪酬,="000333",="美的集团",=1360484000,=1433874000,=1488456000,=1825016000,=2159675000,=2418563000,=2480318000,=2465854000,=1449954000
预计负债(非流动),="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
预计负债(非流动),="000333",="美的集团",=781733000,=782539000,=394977000,=310571000,=298110000,=353269000,=268887000,=330736000,=325217000
长期递延收益,="000651",="格力电器",=3409749454,=3527855598,=3340211330,=2702653898,=437033702,=240504270,=166293620,=126215974,=172081045
长期递延收益,="000333",="美的集团",=2196222000,=1734932000,=1721092000,=1228459000,=779729000,=617155000,=647582850,=536443000,=502316000
递延所得税负债,="000651",="格力电器",=2801094669,=2871757158,=2225127744,=2293912514,=1411111103,=927789301,=536185772,=403487740,=280009411
递延所得税负债,="000333",="美的集团",=4896815000,=5098280000,=4647673000,=4950245000,=5223954000,=4556002000,=4422074000,=3972823000,=1831973000
其他非流动负债,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
其他非流动负债,="000333",="美的集团",=45612000,=39165000,=680482000,=687689000,=692986000,=863826000,=1016352150,=994059000,=888152000
三、所有者权益合计,="000651",="格力电器",=141513694948,=120646153416,=101876048014,=107925451167,=116880487088,=112047656523,=92714711727,=66834797763,=54923602791
三、所有者权益合计,="000333",="美的集团",=227667391000,=174299649000,=151923802000,=134825076000,=124237100000,=107496097000,=92454517000,=82925171000,=68976696000
股东权益占比,="000651",="格力电器",=0.3845,=0.3278,=0.2870,=0.3377,=0.4186,=0.3960,=0.3690,=0.3109,=0.3012
