财报类型,股票代码,上市公司,年报,年报,年报,年报,年报,年报,年报,年报,年报
取得借款收到的现金,="000651",="格力电器",=69114070361,=68622584547,=102926746831,=88802444042,=37599791535,=21268257924,=27633970524,=21610162758,=12382413205
取得借款收到的现金,="000333",="美的集团",=37800361000,=33888703000,=46476320000,=16033803000,=18070961000,=17117677000,=2524315000,=62169886000,=32422027000
发行债券收到的现金,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
发行债券收到的现金,="000333",="美的集团",=0,=0,=2845196000,=0,=0,=0,=0,=0,=1999500000
收到的其他与筹资活动有关的现金,="000651",="格力电器",=5382824067,=20203186179,=20000000,=1143534794,=0,=0,=5110000,=160275000,=2110522946
收到的其他与筹资活动有关的现金,="000333",="美的集团",=180667000,=865591000,=4069663000,=3560467000,=34020963000,=0,=0,=0,=0
筹资活动产生的现金流入小计,="000651",="格力电器",=74558134240,=88825770726,=102978746831,=89991092450,=37614461535,=21595107924,=27639080524,=21860927758,=14492936151
筹资活动产生的现金流入小计,="000333",="美的集团",=72676949000,=37112135000,=54739462000,=21145221000,=54749413000,=20015594000,=5237681000,=63838091000,=35236372000
偿付债务支付的现金,="000651",="格力电器",=82643007053,=87009692090,=60908105526,=57868429528,=29475431120,=27657703656,=24227160996,=13008985203,=11054156840
偿付债务支付的现金,="000333",="美的集团",=24986249000,=33114644000,=40920787000,=18225351000,=8354338000,=8643875000,=3378492000,=36074251000,=26961143000
分配股利、利润或偿付利息所支付的现金,="000651",="格力电器",=15133493514,=13811350664,=18469103442,=17546695095,=14236014440,=13159380388,=862910397,=11121283724,=9180067572
分配股利、利润或偿付利息所支付的现金,="000333",="美的集团",=22821861000,=19643828000,=13740037000,=12894125000,=12822636000,=11055769000,=9303222000,=7908056000,=6046355000
(其中)子公司支付少数股东股利及利润,="000651",="格力电器",=35819000,=111193451,=49000000,=0,=411607065,=0,=0,=0,=0
(其中)子公司支付少数股东股利及利润,="000333",="美的集团",=409782000,=333316000,=279216000,=426947000,=425461000,=1651504000,=815998000,=815164000,=563320000
支付的其他与筹资活动有关的现金,="000651",="格力电器",=484846580,=4362544531,=13678745550,=39906551718,=15014513474,=0,=35162650,=0,=10271924
支付的其他与筹资活动有关的现金,="000333",="美的集团",=2170885000,=2263876000,=10933519000,=21230284000,=34328734000,=3589551000,=5943131000,=204139000,=2068962000
筹资活动产生的现金流出小计,="000651",="格力电器",=98261347148,=105183587285,=93055954518,=115321676341,=58725959033,=40817084045,=25125234042,=24130268927,=20244496336
筹资活动产生的现金流出小计,="000333",="美的集团",=49978995000,=55022348000,=65594343000,=52349760000,=55505708000,=23289195000,=18624845000,=44186446000,=35076460000
筹资活动产生的现金流量净额,="000651",="格力电器",=-23703212908,=-16357816559,=9922792313,=-25330583890,=-21111497498,=-19221976121,=2513846482,=-2269341169,=-5751560185
筹资活动产生的现金流量净额,="000333",="美的集团",=22697954000,=-17910213000,=-10854881000,=-31204539000,=-756295000,=-3273601000,=-13387164000,=19651645000,=159912000
四、汇率变动对现金及现金等价物的影响,="000651",="格力电器",=118633847,=136149040,=268517495,=-589068808,=-372392144,=203761625,=-196368149,=-1798027436,=4094503950
四、汇率变动对现金及现金等价物的影响,="000333",="美的集团",=-76256000,=-17251000,=288492000,=-485220000,=-383411000,=280376000,=289001000,=-36737000,=252576000
期初现金及现金等价物的余额,="000651",="格力电器",=30914196186,=31754656696,=29951743758,=24225049638,=26372571821,=28772120824,=21359616224,=71321360023,=77365016845
期初现金及现金等价物的余额,="000333",="美的集团",=59887260000,=51131968000,=40550039000,=23548508000,=30441760000,=17952282000,=21831653000,=12513730000,=5187317000
现金及现金等价物的净增加额,="000651",="格力电器",=-9773238106,=-840460509,=1802912938,=5726694120,=-2147522183,=-2399549003,=7412504600,=-49962288325,=-6043656822
现金及现金等价物的净增加额,="000333",="美的集团",=-4768532000,=8755292000,=10581929000,=17001531000,=-6893252000,=12489478000,=-3879371000,=9317923000,=7326413000
期末现金及现金等价物净余额,="000651",="格力电器",=21140958080,=30914196186,=31754656696,=29951743758,=24225049638,=26372571821,=28772120824,=21359071698,=71321360023
